year,source,pronoun,frequency,,pronoun_prop
1764,The South Carolina Gazette,they,68.30601092896174,,They
1765,The South Carolina Gazette,they,66.22516556,,They
1766,The South Carolina Gazette,they,279.09426013691416,,They
1766,The Virginia Gazette,they,40.83855159270351,,They
1767,The South Carolina Gazette,they,0,,They
1767,The Virginia Gazette,they,53.71530886302597,,They
1768,The South Carolina Gazette,they,0,,They
1768,The Virginia Gazette,they,131.76638176638178,,They
1769,The South Carolina Gazette,they,78.66273352999018,,They
1769,The Virginia Gazette,they,109.48905109489051,,They
1770,The South Carolina Gazette,they,37.38317757009346,,They
1770,The Virginia Gazette,they,93.33333333333334,,They
1771,The South Carolina Gazette,they,235.18344308560677,,They
1771,The Virginia Gazette,they,64.53347674105943,,They
1772,The South Carolina Gazette,they,113.63636363636364,,They
1772,The Virginia Gazette,they,144.0922190201729,,They
1773,The South Carolina Gazette,they,86.45533141210376,,They
1773,The Virginia Gazette,they,83.75209380234506,,They
1774,The South Carolina Gazette,they,86.03573792190603,,They
1774,The Virginia Gazette,they,90.43927648578811,,They
1775,The South Carolina Gazette,they,405.4054054054054,,They
1775,The Virginia Gazette,they,71.28969539857421,,They
1732,The South Carolina Gazette,them,23.31002331002331,,Them
1733,The South Carolina Gazette,them,27.129679869777537,,Them
1734,The South Carolina Gazette,them,49.89308624376336,,Them
1735,The South Carolina Gazette,them,38.52080123266564,,Them
1736,The South Carolina Gazette,them,68.88633754305395,,Them
1736,The Virginia Gazette,them,47.56242568370987,,Them
1737,The South Carolina Gazette,them,44.41624365482234,,Them
1737,The Virginia Gazette,them,8.948545861,,Them
1738,The South Carolina Gazette,them,21.920210434020166,,Them
1738,The Virginia Gazette,them,25.210084033613448,,Them
1739,The South Carolina Gazette,them,0,,Them
1739,The Virginia Gazette,them,53.085600530856006,,Them
1740,The South Carolina Gazette,them,54.44646098003629,,Them
1741,The South Carolina Gazette,them,35.97122302158274,,Them
1742,The South Carolina Gazette,them,38.13155386081983,,Them
1743,The South Carolina Gazette,them,53.38809034907597,,Them
1744,The South Carolina Gazette,them,24.132730015082956,,Them
1745,The South Carolina Gazette,them,0,,Them
1745,The Virginia Gazette,them,61.18881118881119,,Them
1746,The South Carolina Gazette,them,31.09452736318408,,Them
1746,The Virginia Gazette,them,68.89763779527559,,Them
1747,The South Carolina Gazette,them,32.95386459,,Them
1748,The South Carolina Gazette,them,35.75259206292456,,Them
1749,The South Carolina Gazette,them,9.718172983479105,,Them
1750,The South Carolina Gazette,them,67.87330316742081,,Them
1751,The South Carolina Gazette,them,59.52380952380952,,Them
1751,The Virginia Gazette,them,13.134851138353765,,Them
1752,The South Carolina Gazette,them,54.34782608695652,,Them
1752,The Virginia Gazette,them,58.59375,,Them
1753,The South Carolina Gazette,them,93.75,,Them
1754,The South Carolina Gazette,them,0,,Them
1754,The Virginia Gazette,them,166.66666666666666,,Them
1755,The South Carolina Gazette,them,20.325203252032523,,Them
1755,The Virginia Gazette,them,51.529790660225444,,Them
1756,The South Carolina Gazette,them,100.55865921787709,,Them
1756,The Virginia Gazette,them,42.55319149,,Them
1757,The South Carolina Gazette,them,40.080160320641276,,Them
1759,The South Carolina Gazette,them,69.40736785904966,,Them
1760,The South Carolina Gazette,them,84.30609597924773,,Them
1761,The South Carolina Gazette,them,0,,Them
1761,The Virginia Gazette,them,72.46376811594203,,Them
1762,The South Carolina Gazette,them,53.533190578158454,,Them
1763,The South Carolina Gazette,them,55.749128919860624,,Them
1764,The South Carolina Gazette,them,40.98360655737705,,Them
1765,The South Carolina Gazette,them,44.150110375275936,,Them
1766,The South Carolina Gazette,them,115.85044760400211,,Them
1766,The Virginia Gazette,them,29.948271167982575,,Them
1767,The South Carolina Gazette,them,52.08333333333333,,Them
1767,The Virginia Gazette,them,8.952551477170994,,Them
