Year of arrival at port of disembarkation,Voyage ID,Vessel name,,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1737,100216,Georgia,,New York,Charleston,21,"Lush, John",,1737-01-01,32.78096,-79.93554
1737,100217,Amity,,Bermuda,Charleston,10,"Todd, Henry",,1737-01-01,32.78096,-79.93554
1737,107102,Warwick,,Charleston,Georgetown,,"Darrell, John",,1737-01-01,0,0
1737,107859,Don Carlos,,New York,"South Carolina, place unspecified",,"Kip, Abraham",,1737-01-01,#N/A,#N/A
1738,100218,Dow,,"Jamaica, place unspecified",Charleston,9,"Sigourney, Charles",,1738-01-01,32.78096,-79.93554
1738,100219,Carolina,,"Barbados, place unspecified",Charleston,6,"Metland, Joseph",,1738-01-01,32.78096,-79.93554
1738,100220,Glasgow,,"Antigua, place unspecified",Charleston,13,"Warden, William",,1738-01-01,32.78096,-79.93554
1738,100221,Jenny and Nancy,,"Antigua, place unspecified",Charleston,14,"Linx, Richard",,1738-01-01,32.78096,-79.93554
1738,107105,Endeavour,,Charleston,Georgetown,,"Outerbridge, Leo",,1738-01-01,0,0
1739,100222,,,"Barbados, place unspecified",Charleston,,"Lightwood, Edward",,1739-01-01,32.78096,-79.93554
1739,100223,,,"Antigua, place unspecified",Charleston,,"Dowers, Edward",,1739-01-01,32.78096,-79.93554
1739,100224,,,"St. Kitts, port unspecified",Charleston,,"Dorby, Eleazer",,1739-01-01,32.78096,-79.93554
1739,100225,,,"Antigua, place unspecified",Charleston,,"Drummond, John",,1739-01-01,32.78096,-79.93554
1740,100226,,,"Rhode Island, port unspecified",Charleston,,"Barnes, William",,1740-01-01,32.78096,-79.93554
1740,100227,,,"Barbados, place unspecified",Charleston,,"Lightwood, Edward",,1740-01-01,32.78096,-79.93554
1740,100228,,,"Antigua, place unspecified",Charleston,,"McNeale, Hector",,1740-01-01,32.78096,-79.93554
1740,100229,,,"Barbados, place unspecified",Charleston,,"Paynter, John",,1740-01-01,32.78096,-79.93554
1740,100230,,,"Barbados, place unspecified",Charleston,,"Hughes, H.",,1740-01-01,32.78096,-79.93554
1742,100231,,,Bermuda,Charleston,,"Minott, Amos",,1742-01-01,32.78096,-79.93554
1742,108004,Susannah,,"Barbados, place unspecified",Charleston,1,Gregory,,1742-01-01,32.78096,-79.93554
1744,100233,Carolina [?],,Providence,Charleston,,"Hutchins, [Joseph?]",,1744-01-01,32.78096,-79.93554
1744,108003,Charming Sarah,,"Barbados, place unspecified",Charleston,2,Davison,,1744-01-01,32.78096,-79.93554
1745,100234,,,"Jamaica, place unspecified",Charleston,,Harramond,,1745-01-01,32.78096,-79.93554
1745,100235,,,"Jamaica, place unspecified",Charleston,,Evans,,1745-01-01,32.78096,-79.93554
1745,100236,,,"Barbados, place unspecified",Charleston,,Harmond,,1745-01-01,32.78096,-79.93554
1746,100237,,,"Antigua, place unspecified",Charleston,,Grand,,1746-01-01,32.78096,-79.93554
1748,100238,,,"St. Kitts, port unspecified",Charleston,,Watts,,1748-01-01,32.78096,-79.93554
1748,100239,,,Providence,Charleston,,Walker,,1748-01-01,32.78096,-79.93554
1748,100240,,,"Antigua, place unspecified",Charleston,,Hare,,1748-01-01,32.78096,-79.93554
1748,100241,,,"Antigua, place unspecified",Charleston,,Place,,1748-01-01,32.78096,-79.93554
1748,100242,,,Spanish Town,Charleston,,Hopkins,,1748-01-01,32.78096,-79.93554
1748,102591,Rattan Packet,,Kingston,"South Carolina, place unspecified",,"Davis, William",,1748-01-01,#N/A,#N/A
1749,100243,,,"Jamaica, place unspecified",Charleston,,Burchell,,1749-01-01,32.78096,-79.93554
1749,100244,,,"Antigua, place unspecified",Charleston,,Raines,,1749-01-01,32.78096,-79.93554
1750,100245,,,"Antigua, place unspecified",Charleston,,Bailey,,1750-01-01,32.78096,-79.93554
1750,100246,Defeat,,"Barbados, place unspecified",Charleston,,"Pharour, John",,1750-01-01,32.78096,-79.93554
1750,100247,Charles,,"Barbados, place unspecified",Charleston,100,"Calvert, Thomas",,1750-01-01,32.78096,-79.93554
1750,100248,Thomas and George,,"Barbados, place unspecified",Charleston,,"Thomas, Thomas",,1750-01-01,32.78096,-79.93554
1750,100249,Benjamin,,"Barbados, place unspecified",Charleston,,"Nelms, Thomas",,1750-01-01,32.78096,-79.93554
1750,100250,,,"Barbados, place unspecified",Charleston,,Evans,,1750-01-01,32.78096,-79.93554
1750,100252,Recovery,,"Antigua, place unspecified",Charleston,,"Robinson, William",,1750-01-01,32.78096,-79.93554
1751,100253,Hawk,,"Antigua, place unspecified",Charleston,70,"Mason, William",,1751-01-01,32.78096,-79.93554
1751,100254,,,"Antigua, place unspecified",Charleston,,Allen,,1751-01-01,32.78096,-79.93554
1751,100256,Brownhill,,"Montserrat, port unspecified",Charleston,,"Thomas, John",,1751-01-01,32.78096,-79.93554
1751,100257,,,"Barbados, place unspecified",Charleston,,Evans,,1751-01-01,32.78096,-79.93554
1751,100258,South Carolina,,"Barbados, place unspecified",Charleston,,"Fell, John",,1751-01-01,32.78096,-79.93554
1751,100259,,,"Barbados, place unspecified",Charleston,,Noble,,1751-01-01,32.78096,-79.93554
1751,100260,,,"Barbados, place unspecified",Charleston,,Gardner,,1751-01-01,32.78096,-79.93554
1751,100261,Nancy,,"Barbados, place unspecified",Charleston,68,"Dickenson, Joseph",,1751-01-01,32.78096,-79.93554
1751,100262,Endeavour,,"Barbados, place unspecified",Charleston,,"Woodhouse, William",,1751-01-01,32.78096,-79.93554
1751,100263,,,Curaçao,Charleston,,Evans,,1751-01-01,32.78096,-79.93554
1751,100264,Rebecca,,Boston,Charleston,,"Andrews, John",,1751-01-01,32.78096,-79.93554
1751,100265,Peggy and Molly,,"Antigua, place unspecified",Charleston,,"Oates, James",,1751-01-01,32.78096,-79.93554
1751,100266,,,"St. Kitts, port unspecified",Charleston,,Bannon,,1751-01-01,32.78096,-79.93554
1751,100267,Isaac,,"Barbados, place unspecified",Charleston,,"McNeill, John",,1751-01-01,32.78096,-79.93554
1751,100268,,,"Antigua, place unspecified",Charleston,,,,1751-01-01,32.78096,-79.93554
1751,100269,,,"Barbados, place unspecified",Charleston,,Symondson,,1751-01-01,32.78096,-79.93554
1751,100270,,,"Barbados, place unspecified",Charleston,,Wakeley,,1751-01-01,32.78096,-79.93554
1751,100271,,,"Barbados, place unspecified",Charleston,,Gordon,,1751-01-01,32.78096,-79.93554
1751,101528,Industry,,New Providence,"South Carolina, place unspecified",,"Thompson, John",,1751-01-01,#N/A,#N/A
1752,100039,Molly,,"Barbados, place unspecified",Charleston,100,"Watts, Richard",,1752-01-01,32.78096,-79.93554
1752,100272,Lucretia,,"St. Kitts, port unspecified",Charleston,,"Fleming (a) Heming, James",,1752-01-01,32.78096,-79.93554
1752,100273,Joseph,,New York,Charleston,,"Wilson, Joseph",,1752-01-01,32.78096,-79.93554
1752,100274,Susannah,,"Antigua, place unspecified",Charleston,,"Lang, William",,1752-01-01,32.78096,-79.93554
1752,100275,Armstrong,,"Barbados, place unspecified",Charleston,,"Eggar, James",,1752-01-01,32.78096,-79.93554
1752,100276,Industry,,"Barbados, place unspecified",Charleston,,"Kilner, Samuel",,1752-01-01,32.78096,-79.93554
1752,100277,Lovely Rebecca,,"Antigua, place unspecified",Charleston,,"Davis, Robert",,1752-01-01,32.78096,-79.93554
1752,100278,,,"St. Kitts, port unspecified",Charleston,,Smith,,1752-01-01,32.78096,-79.93554
1752,100279,,,"Montserrat, port unspecified",Charleston,,Leslie,,1752-01-01,32.78096,-79.93554
1752,100280,Spy,,"Jamaica, place unspecified",Charleston,,"Evans, Burch",,1752-01-01,32.78096,-79.93554
1752,100281,Endeavour,,"Jamaica, place unspecified",Charleston,,"Colcock, Isaac",,1752-01-01,32.78096,-79.93554
1752,100282,Sarah and Anne,,"Barbados, place unspecified",Charleston,,"Nicholson, John",,1752-01-01,32.78096,-79.93554
1752,100283,Vine,,"Barbados, place unspecified",Beaufort,,"Makin, Robert",,1752-01-01,34.718217,-76.663819
1752,100284,Two Friends,,"Barbados, place unspecified",Charleston,60,"Hammett, Abraham",,1752-01-01,32.78096,-79.93554
1752,100285,,,"Barbados, place unspecified",Charleston,,Donnington,,1752-01-01,32.78096,-79.93554
