Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1746,17145,Nancy,"Africa, port unspecified",Bristol,Upper James River,209,"Baber, John",,1746-01-01,37.5184,-77.42742
1746,92505,Planter,"Gold Coast, port unspecified",Liverpool,York River,226,"Foulkes, Thomas",,1746-01-01,37.2268,-76.45376
1746,92506,Gildart,Gambia,Liverpool,Rappahannock,250,"Holme, Richard",,1746-01-01,37.59826,-76.38813
1746,17149,Two Brothers,Bonny,Bristol,York River,254,"Jones, William",,1746-01-01,37.2268,-76.45376
1746,17150,Williamsburgh,"Africa, port unspecified",Bristol,Upper James River,360,"Tate, John",,1746-01-01,37.5184,-77.42742
1748,17182,Louisa,Bonny,Bristol,"Virginia, port unspecified",,"Seires, John",,1748-01-01,37.2268,-76.45376
1749,17197,Amoretta,Calabar,Bristol,Upper James River,185,"Timberman, Samuel",,1749-01-01,37.5184,-77.42742
1749,17208,Levant,Bonny,Bristol,York River,252,"Miller, William",,1749-01-01,37.2268,-76.45376
1749,17217,Southwell,Malembo,Bristol,Upper James River,284,"Brackenridge, John",,1749-01-01,37.5184,-77.42742
1749,17224,Tryall,Malembo,Bristol,Upper James River,356,"Saunders, Abraham",,1749-01-01,37.5184,-77.42742
1749,17226,Williamsburgh,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,Upper James River,335,"Tate, John",,1749-01-01,37.5184,-77.42742
1749,90040,William,Calabar,Liverpool,York River,350,"Simmons, John",,1749-01-01,37.2268,-76.45376
1749,90427,Susanna,"Africa, port unspecified",,York River,200,"Fryer, Edward",,1749-01-01,37.2268,-76.45376
1750,25211,Brithe Betty,"Africa, port unspecified",,Rappahannock,136,"Moore, Hugh",,1750-01-01,37.59826,-76.38813
1750,17227,Africa,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,Upper James River,280,"Miller, William<br/> Miller, Alexander",,1750-01-01,37.5184,-77.42742
1750,17238,Hope,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,Upper James River,153,"Clayton, John",,1750-01-01,37.5184,-77.42742
1751,25799,Anne and Susanna,"Africa, port unspecified",,Hampton,48,"Boyes, Michael",,1751-01-01,37.0297,-76.3456
1751,24934,Mary,"Africa, port unspecified",,"Virginia, port unspecified",,"Stainforth, John",,1751-01-01,37.2268,-76.45376
1751,17276,Tryal,"West Central Africa and St. Helena, port unspecified",Bristol,York River,402,"Saunders, Abraham",,1751-01-01,37.2268,-76.45376
1751,17277,Williamsburgh,Bonny,Bristol,Upper James River,295,"Tate, John<br/> Sword, James",,1751-01-01,37.5184,-77.42742
1751,90357,Penelope,Gambia,Liverpool,Upper James River,208,"Gother, Anthony",,1751-01-01,37.5184,-77.42742
1752,27091,Happy,Ambriz,Whitehaven,Rappahannock,114,"Lyndon, Roger<br/> Harrison, Henry",,1752-01-01,37.59826,-76.38813
1752,24997,Whittington,"Africa, port unspecified",,Rappahannock,,,,1752-01-01,37.59826,-76.38813
1752,25212,Potomack Merchant,Bonny,Montrose,South Potomac,197,"Gibson, Thomas<br/> Hartley, Richard",,1752-01-01,38.10394,-76.52077
1752,17278,Africa,New Calabar,Bristol,Upper James River,260,"Miller, Alexander",,1752-01-01,37.5184,-77.42742
1752,17279,Ann Gally,Calabar,Bristol,Upper James River,240,"Robe, Alexander",,1752-01-01,37.5184,-77.42742
1752,17280,Black Prince,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,York River,214,"Miller, William",,1752-01-01,37.2268,-76.45376
1752,17287,Greyhound,"West Central Africa and St. Helena, port unspecified",Bristol,York River,336,"Davies, John",,1752-01-01,37.2268,-76.45376
1752,17288,Hampton,Bonny,Bristol,Bermuda Hundred,273,"Skinner, John<br/> Whiltshire, Edward",,1752-01-01,#N/A,#N/A
1752,17293,Levant,Calabar,Bristol,York River,184,"McMurdo, James",,1752-01-01,37.2268,-76.45376
1752,17297,Penelope,"West Central Africa and St. Helena, port unspecified",Bristol,Rappahannock,223,"Clark, John",,1752-01-01,37.59826,-76.38813
1752,17301,Susanna,Bonny,Bristol,Upper James River,233,"Cowie, Robert",,1752-01-01,37.5184,-77.42742
1752,17304,Tryall,"Africa, port unspecified",Bristol,York River,182,"Little, Joseph",,1752-01-01,37.2268,-76.45376
1752,75242,Castleton,Gambia,Lancaster,Upper James River,70,"Tindale, Henry",,1752-01-01,37.5184,-77.42742
1752,75889,Molly,"West Central Africa and St. Helena, port unspecified",London,York River,205,"Lane, Joseph",,1752-01-01,37.2268,-76.45376
1752,76204,Saint Paul,Gambia,London,Hampton,124,"James, Tubley",,1752-01-01,37.0297,-76.3456
1752,90187,Cumberland,Gambia,Liverpool,York River,103,"Griffin, John",,1752-01-01,37.2268,-76.45376
1752,90270,Betty (a) Lovely Betty,"Windward Coast, place unspecified",Liverpool,"Virginia, port unspecified",,"Jackson, George",,1752-01-01,37.2268,-76.45376
1752,90278,Boyne,Bonny,Liverpool,York River,203,"Wilkinson, William",,1752-01-01,37.2268,-76.45376
1752,90297,Orrell,Gambia,Liverpool,York River,81,"Lacer, Samuel<br/> Whitesides, John<br/> Griffin, James",,1752-01-01,37.2268,-76.45376
1752,90304,Minerva,Gambia,Liverpool,Rappahannock,160,"Jordan, Thomas",,1752-01-01,37.59826,-76.38813
1752,90359,George,"West Central Africa and St. Helena, port unspecified",,Lower James River,54,"Cooke, Charles",,1752-01-01,36.95002,-76.38292
1752,90404,Alice Gally,"Gold Coast, port unspecified",,York River,260,"Jackson, Richard",,1752-01-01,37.2268,-76.45376
1752,90413,Elizabeth,Gambia,Liverpool,"Virginia, port unspecified",130,"Hayes, William",,1752-01-01,37.2268,-76.45376
1753,26100,Delight,Gambia,Montrose,"Virginia, port unspecified",125,"Elphinstone, J",,1753-01-01,37.2268,-76.45376
1753,24990,Whittington,"Africa, port unspecified",Whitehaven,"Virginia, port unspecified",,"Troughear, Thos",,1753-01-01,37.2268,-76.45376
1753,17305,Africa,"Africa, port unspecified",Bristol,Upper James River,,"Miller, Alexander",,1753-01-01,37.5184,-77.42742
1753,17306,Black Prince,Bonny,Bristol,York River,,"Miller, William",,1753-01-01,37.2268,-76.45376
1753,17316,Hope,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Owens, William<br/> Richardson, James",,1753-01-01,37.2268,-76.45376
